"Sample","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE","SlideName","ScanLabel","ROILabel.x","SegmentLabel","Origin.Instrument.ID","CD31.CD34.","PanCK.","INS.","Other","PanCK..1","CD31.Islet","CD31..CD34.","PsnCK.","QCFlags","AOISurfaceArea","AOINucleiCount","ROICoordinateX","ROICoordinateY","RawReads","AlignedReads","DeduplicatedReads","TrimmedReads","StitchedReads","SequencingSaturation","SequencingSetID","UMIQ30","RTSQ30","GeoMxNgsPipelineVersion","LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0","organ_region","organ","ROI_type","AOI_target","Case","ROIID","SegmentID","ScanWidth","ScanHeight","ScanOffsetX","ScanOffsetY","ROIComments","sample_id","Slide","PancreasSection","ROILabel.y","Segment.Label","AOI.Nuclei.INS.Count","ROICoordinateX..pixels.","ROICoordinateY..pixels.","ROICoordinateX..µm.","ROICoordinateY..µm.","Main.Pancreatic.Duct.X..µm.","Main.Pancreatic.Duct.Y..µm.","Distance_from_Main_Duct"
"P1-21 WTA 12-15-21 | 014 | CD31-Islet",0,0.006,0,0.364,0,0,0,0,0.089,0,0,0.173,0.06,0,0,0.046,0.003,0.061,0.104,0,0.094,0,0.74,0.021,1.12545217107565,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","006","PanCK+","2204G0420","False","True","False","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",19909.643462,340,5333.11865234375,41769.16015625,3389258,3178849,746613,3299620,3299620,76.5131026984924,"LH00339:67:2232MVLT1",99.57,99.56,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_present","duct_cells","P4","9dd3d820-9c38-4bf9-a173-515ff78a0b24","0593c46c-3b9b-4249-94c2-b4a26cdeac12",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A","P4-6A","006","INS+",96,5333.12,41769.16,2126.85,16632.48,4022.1,14545.1,2819.4
"P1-21 WTA 12-15-21 | 014 | PanCK-",0,0.035,0,0.271,0,0,0,0.101,0.025,0,0,0.137,0.131,0.005,0.057,0.032,0.016,0,0,0.192,0,0,0.65,0.031,1.09993014478154,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","007","PanCK+","2204G0420","False","True","False","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",18068.23408,289,12888.892578125,46609.23828125,2336590,2196743,585986,2278518,2278518,73.3247812784655,"LH00339:67:2232MVLT1",99.6,99.58,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_present","duct_cells","P4","4a808bcd-5588-4d3c-9922-e697616af7db","5dd1e431-4e6a-4f07-8092-047d168bf528",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A","P4-6A","007","INS+",89,12888.89,46609.24,5140.09,18559.8,4022.1,14545.1,4167.5
"P1-4A WTA 12-15-21 | 001 | PanCK-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P2-19A Ins/Syto83/PanCK/CD3134 WTA 8-25-22","P2-19 Ins/Syto83/PanCK/CD3134 WTA 8-25-22","010","PanCK+","2204G0420","False","True","False","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",10545.092494,82,23102.462890625,26856.61328125,1810526,1631940,219865,1762800,1762800,86.5273845852176,"A00916:293:HHH3VDRX2",98.85,98.9,"DRAGEN_GeoMx_3.8.4-96","HWTA21001","Tail","Pancreas","islet_present","duct_cells","P2","3fcd6f36-0c91-4db6-b0f2-b09d087782ce","0ab5d681-3c39-449f-a51d-362c91dca861",35356.484375,53704.421875,6898,5916,NA,"sample01","P2-19A","P2-19A","010","INS+",35,23102.5,26856.6,9236.4,10713.1,7095.4,17378.4,7001
"P1-4A WTA 12-15-21 | 006 | PanCK-",0,0,0,0.192,0.179,0,0,0.078,0,0,0,0.15,0.149,0,0.031,0,0.07,0,0,0.148,0.002,0,0.6,0.035,1.09882487642715,"P2-19A Ins/Syto83/PanCK/CD3134 WTA 8-25-22","P2-19 Ins/Syto83/PanCK/CD3134 WTA 8-25-22","011","PanCK+","2204G0420","False","True","False","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",13816.579967,84,29301.994140625,37385.5546875,1783416,1607820,186119,1736701,1736701,88.4241395181053,"A00916:293:HHH3VDRX2",98.98,98.98,"DRAGEN_GeoMx_3.8.4-96","HWTA21001","Tail","Pancreas","islet_absent","duct_cells","P2","5e3e0b9d-0804-4ca7-b47f-a16d4176984d","b0e934ec-dc22-4fca-bd9e-46736320e24c",35356.484375,53704.421875,6898,5916,NA,"sample01","P2-19A","P2-19A","011","INS-",NA,29302,37385.6,11714.9,14913.1,7095.4,17378.4,5236
"P1-4A WTA 12-15-21 | 007 | PanCK-",0.079,0,0,0.262,0.019,0,0,0.048,0,0,0,0.145,0.083,0,0.072,0.013,0.182,0,0,0.064,0,0.032,0.27,0.073,1.06988837751627,"P2-19A Ins/Syto83/PanCK/CD3134 WTA 8-25-22","P2-19 Ins/Syto83/PanCK/CD3134 WTA 8-25-22","012","PanCK+","2204G0420","False","True","False","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",14017.698615,93,36415.33203125,43689,1121391,1009525,184002,1093364,1093364,81.7734082860751,"A00916:293:HHH3VDRX2",99.04,99.06,"DRAGEN_GeoMx_3.8.4-96","HWTA21001","Tail","Pancreas","islet_absent","duct_cells","P2","4482bcf9-876e-4d2f-9797-605f08208b0b","780046b3-6dc3-4b1a-8d32-10f1a486c1df",35356.484375,53704.421875,6898,5916,NA,"sample01","P2-19A","P2-19A","012","INS-",NA,36415.3,43689,14558.8,17427.5,7095.4,17378.4,7464
"P1-4A WTA 12-15-21 | 009 | CD31-Islet",0,0.138,0,0.091,0.168,0,0.081,0.101,0,0,0.001,0.034,0.056,0,0,0.089,0.057,0.039,0,0.09,0,0.055,0.53,0.038,1.06662880442469,"P2-19A Ins/Syto83/PanCK/CD3134 WTA 8-25-22","P2-19 Ins/Syto83/PanCK/CD3134 WTA 8-25-22","013","PanCK+","2204G0420","False","True","False","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",15237.010322,91,22130.625,52287.4296875,2131483,1919923,271432,2081244,2081244,85.8623496879823,"A00916:293:HHH3VDRX2",98.97,98.99,"DRAGEN_GeoMx_3.8.4-96","HWTA21001","Tail","Pancreas","islet_absent","duct_cells","P2","ce38a5ff-4ac5-4028-bfc6-6483c4e1869e","dd384fe9-ae7d-405f-a89f-e3a5012de6a5",35356.484375,53704.421875,6898,5916,NA,"sample01","P2-19A","P2-19A","013","INS-",NA,22130.6,52287.4,8847.8,20857.5,7095.4,17378.4,3895
"P1-4A WTA 12-15-21 | 009 | PanCK-",0,0.182,0,0,0.028,0,0,0.047,0,0.055,0,0.216,0.129,0.017,0.066,0.001,0.065,0,0.004,0.123,0.068,0,0.39,0.059,1.07433469400048,"P2-19A Ins/Syto83/PanCK/CD3134 WTA 8-25-22","P2-19 Ins/Syto83/PanCK/CD3134 WTA 8-25-22","014","PanCK+","2204G0420","False","True","False","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",17060.315937,115,12852.5966796875,36393.6953125,3230889,2915997,348524,3157756,3157756,88.0478615032869,"A00916:293:HHH3VDRX2",98.99,99.05,"DRAGEN_GeoMx_3.8.4-96","HWTA21001","Tail","Pancreas","islet_absent","duct_cells","P2","0a88f30d-8fd9-4ca3-9a05-bddf7c932c82","dfed192b-22ea-4081-ae2f-05da38cebf44",35356.484375,53704.421875,6898,5916,NA,"sample01","P2-19A","P2-19A","014","INS-",NA,12852.6,36393.7,5138.5,14517.4,7095.4,17378.4,3466
"P1-4A WTA 12-15-21 | 011 | PanCK+",0.096,0,0.015,0.058,0.038,0,0.088,0.151,0,0.009,0,0.065,0.061,0.021,0.025,0.134,0.006,0,0,0.233,0,0,0.18,0.1,1.04562732097584,"P2-19A Ins/Syto83/PanCK/CD3134 WTA 8-25-22","P2-19 Ins/Syto83/PanCK/CD3134 WTA 8-25-22","015","PanCK+","2204G0420","False","True","False","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",15044.663701,129,15412.48046875,30758.7109375,2870920,2583517,301026,2791267,2791267,88.3482090499114,"A00916:293:HHH3VDRX2",98.96,98.98,"DRAGEN_GeoMx_3.8.4-96","HWTA21001","Tail","Pancreas","islet_absent","duct_cells","P2","c5dcb41a-f46e-452e-a05b-7a511b3d60fc","c17e9a1a-1e39-4612-9a61-4b09a1909fe3",35356.484375,53704.421875,6898,5916,NA,"sample01","P2-19A","P2-19A","015","INS-",NA,15412.5,30758.7,6161.9,12269.6,7095.4,17378.4,5193
"P1-9A WTA 12-15-21 | 004 | PanCK-",0.128,0,0.07,0.136,0,0,0,0.14,0,0,0,0.093,0.034,0,0.025,0,0.098,0.04,0,0.236,0,0,0.33,0.065,1.06691682305106,"P4-3A Ins/Syto83/PanCK/CD3134 5-16-24","P4-3A Ins/Syto83/PanCK/CD3134 5-16-24","008","PanCK+","2204G0420","False","True","False","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",24413.918828,456,30819.404296875,10849.2412109375,2918371,2745782,626765,2849512,2849512,77.1735338056699,"LH00339:67:2232MVLT1",99.6,99.6,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Head","Pancreas","islet_present","duct_cells","P4","17c22f39-d0d9-45b8-ada4-93f340639310","ea543d1f-4a4c-4211-8c21-1375ad61fb24",35601.95703125,64950.4609375,6775,293,NA,"sample01","P4-3A","P4-3A","008","INS+",85,30819.4,10849.24,12290.78,4320.17,NA,NA,NA
"P1-9A WTA 12-15-21 | 006 | PanCK-",0.031,0,0,0.322,0,0,0,0.061,0,0,0,0.075,0.184,0.022,0.127,0,0,0,0,0.178,0,0,0.9,-0.012,1.11935756412187,"P4-3A Ins/Syto83/PanCK/CD3134 5-16-24","P4-3A Ins/Syto83/PanCK/CD3134 5-16-24","009","PanCK+","2204G0420","False","True","False","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",12714.712648,190,18253.84765625,57124.30078125,2832332,2665144,531203,2764730,2764730,80.0685066172785,"LH00339:67:2232MVLT1",99.64,99.58,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Head","Pancreas","islet_absent","duct_cells","P4","22e562eb-9997-45eb-b243-db61f4f6c4e8","0b5b30fd-af7b-4faf-a90c-28e947ae6f61",35601.95703125,64950.4609375,6775,293,NA,"sample01","P4-3A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P1-9A WTA 12-15-21 | 009 | PanCK-",0,0.022,0.073,0.305,0,0,0,0.124,0.027,0,0,0.069,0.188,0.017,0.023,0.012,0.001,0.085,0.053,0,0,0,0.52,0.039,1.08695249644225,"P4-3A Ins/Syto83/PanCK/CD3134 5-16-24","P4-3A Ins/Syto83/PanCK/CD3134 5-16-24","010","PanCK+","2204G0420","False","True","False","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",15152.245765,276,13460.7607421875,54863.2890625,2624177,2468949,566056,2562747,2562747,77.0729974576227,"LH00339:67:2232MVLT1",99.57,99.6,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Head","Pancreas","islet_absent","duct_cells","P4","89dcbf0d-1b1a-4e7f-aff4-b168314e2d5a","58debded-e97b-4cab-b80b-1374677df59d",35601.95703125,64950.4609375,6775,293,NA,"sample01","P4-3A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P1-9A WTA 12-15-21 | 011 | PanCK+",0.101,0,0,0.24,0,0,0,0.144,0,0,0,0.12,0.004,0.12,0.07,0,0,0.055,0.105,0,0.042,0,0.63,0.033,1.09245411418163,"P4-3A Ins/Syto83/PanCK/CD3134 5-16-24","P4-3A Ins/Syto83/PanCK/CD3134 5-16-24","011","PanCK+","2204G0420","False","True","False","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",18090.148058,376,10329.3857421875,34499.11328125,1736596,1636424,449354,1695882,1695882,72.5404907285642,"LH00339:67:2232MVLT1",99.6,99.59,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Head","Pancreas","islet_absent","duct_cells","P4","c7b9e6c9-2218-4e1f-b420-bf0d83e098c7","99126988-d5b3-4e13-9487-e717ec217291",35601.95703125,64950.4609375,6775,293,NA,"sample01","P4-3A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P1-9A WTA 12-15-21 | 012 | PanCK+",0.168,0,0,0.229,0,0,0,0.243,0,0,0,0.121,0.005,0.025,0,0,0.155,0.008,0,0.008,0.038,0,0.65,0.031,1.11265820130137,"P4-3A Ins/Syto83/PanCK/CD3134 5-16-24","P4-3A Ins/Syto83/PanCK/CD3134 5-16-24","012","PanCK+","2204G0420","False","True","False","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",16464.384928,258,35407.33984375,39223.99609375,3282718,3081606,707172,3200566,3200566,77.0518359582633,"LH00339:67:2232MVLT1",99.6,99.55,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Head","Pancreas","islet_absent","duct_cells","P4","4e29c816-cec6-4f9f-98fb-fdc1b187724a","d3f0dffd-d279-4544-98ae-4cd3f378e0c1",35601.95703125,64950.4609375,6775,293,NA,"sample01","P4-3A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P1-9A WTA 12-15-21 | 013 | PanCK+",0,0.171,0,0.226,0,0.037,0.005,0.036,0.034,0,0,0.132,0,0,0.024,0,0.137,0,0,0.089,0,0.109,0.69,0.028,1.09177027860137,"P4-3A Ins/Syto83/PanCK/CD3134 5-16-24","P4-3A Ins/Syto83/PanCK/CD3134 5-16-24","013","PanCK+","2204G0420","False","True","False","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",19761.962303,367,38385.8203125,13573.654296875,2480510,2335207,521113,2422088,2422088,77.6845050567252,"LH00339:67:2232MVLT1",99.58,99.59,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Head","Pancreas","islet_absent","duct_cells","P4","f14f0bad-d9b1-4067-b6aa-4921c978549e","2d926860-1767-4c07-b7ed-da6cd6869c86",35601.95703125,64950.4609375,6775,293,NA,"sample01","P4-3A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P1-9A WTA 12-15-21 | 014 | PanCK+",0,0,0,0.207,0,0,0,0.135,0,0,0,0.111,0.08,0,0.058,0,0.177,0.014,0,0.216,0,0,0.27,0.073,1.06766786007551,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","001","PanCK+","2204G0420","False","True","False","False","False","False","False","False",NA,38836.333831,477,13154.2333984375,26340.54296875,6098996,5729371,1404540,5943855,5943855,75.4852670563662,"LH00339:67:2232MVLT1",99.59,99.59,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_present","duct_cells","P4","095150d1-2d4f-41ae-a81b-4b6b5dfc988d","97af9df9-bfad-4414-8795-c5d67112bc48",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A","P4-6A","001","INS+",120,13154.23,26340.54,5245.91,10488.8,4022.1,14545.1,4236.9
