"Sample","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE","SlideName","ScanLabel","ROILabel.x","SegmentLabel","Origin.Instrument.ID","CD31.CD34.","PanCK.","INS.","Other","PanCK..1","CD31.Islet","CD31..CD34.","PsnCK.","QCFlags","AOISurfaceArea","AOINucleiCount","ROICoordinateX","ROICoordinateY","RawReads","AlignedReads","DeduplicatedReads","TrimmedReads","StitchedReads","SequencingSaturation","SequencingSetID","UMIQ30","RTSQ30","GeoMxNgsPipelineVersion","LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0","organ_region","organ","ROI_type","AOI_target","Case","ROIID","SegmentID","ScanWidth","ScanHeight","ScanOffsetX","ScanOffsetY","ROIComments","sample_id","Slide","PancreasSection","ROILabel.y","Segment.Label","AOI.Nuclei.INS.Count","ROICoordinateX..pixels.","ROICoordinateY..pixels.","ROICoordinateX..µm.","ROICoordinateY..µm.","Main.Pancreatic.Duct.X..µm.","Main.Pancreatic.Duct.Y..µm.","Distance_from_Main_Duct"
"P2-13 Ins/Syto83/PanCK/CD3134 WTA 8-25-22 | 002 | INS+",0,0.184,0,0.146,0,0.198,0,0.223,0,0,0,0.071,0,0,0.009,0.03,0.092,0.004,0.019,0,0,0.024,0.5,0.046,1.11169609644941,"P4-22 Ins/Syto83/PanCK/CD3134 5-16-24","P4-22 Ins/Syto83/PanCK/CD3134 5-16-24","004","INS+","2204G0420","False","False","True","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",19334.322128,227,31713.76953125,21790.591796875,4440523,4189987,856693,4330857,4330857,79.5538029115603,"LH00339:67:2232MVLT1",99.61,99.56,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Tail","Pancreas","islet_present","beta_cells","P4","a5ea84d3-614f-43eb-8a1b-501695bfb93a","3dbac18b-cfb2-41e6-8f9c-aace397256ea",35563.140625,66750.1015625,6794,7585,NA,"sample01","P4-22","P4-22","004","INS+",227,31713.77,21790.59,12647.45,8677.01,11115.6,17700.3,9152.4
"P2-13 Ins/Syto83/PanCK/CD3134 WTA 8-25-22 | 003 | PanCK+",0,0.05,0,0.356,0,0,0.038,0.226,0,0,0,0,0.045,0,0.074,0.012,0.138,0,0,0,0,0.062,0.24,0.072,1.09307883431961,"P4-22 Ins/Syto83/PanCK/CD3134 5-16-24","P4-22 Ins/Syto83/PanCK/CD3134 5-16-24","005","INS+","2204G0420","False","False","True","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",15000.277088,188,40794.60546875,30203.041015625,3617084,3420074,729167,3527578,3527578,78.6797887998915,"LH00339:67:2232MVLT1",99.65,99.63,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Tail","Pancreas","islet_present","beta_cells","P4","1e133c9b-58ed-4179-863c-39f6d653985a","4c168c40-d67a-423c-b66c-94e7e07e7763",35563.140625,66750.1015625,6794,7585,NA,"sample01","P4-22","P4-22","005","INS+",188,40794.61,30203.04,16268.89,12026.85,11115.6,17700.3,7664.5
"P2-13 Ins/Syto83/PanCK/CD3134 WTA 8-25-22 | 004 | CD31+CD34+",0,0.013,0.033,0.315,0,0,0,0.139,0,0,0,0.077,0.07,0,0.065,0.137,0,0,0,0.15,0,0,0.73,0.02,1.09792155216652,"P4-22 Ins/Syto83/PanCK/CD3134 5-16-24","P4-22 Ins/Syto83/PanCK/CD3134 5-16-24","006","INS+","2204G0420","False","False","True","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",41883.488423,518,40083.703125,38388.62109375,7464619,7034729,1478658,7266147,7266147,78.980597546828,"LH00339:67:2232MVLT1",99.62,99.59,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Tail","Pancreas","islet_present","beta_cells","P4","855f27e5-d988-4ef0-acc9-7533c72fb2b9","6ee22886-9ce1-4669-9624-b88da8047399",35563.140625,66750.1015625,6794,7585,NA,"sample01","P4-22","P4-22","006","INS+",518,40083.7,38388.62,15985.38,15286.35,11115.6,17700.3,5435.2
"P2-13 Ins/Syto83/PanCK/CD3134 WTA 8-25-22 | 005 | CD31+CD34+",0.105,0,0,0.283,0,0,0,0.347,0,0,0.038,0.001,0.055,0,0.045,0.017,0,0,0.109,0,0,0,0.22,0.076,1.10961222204642,"P4-22 Ins/Syto83/PanCK/CD3134 5-16-24","P4-22 Ins/Syto83/PanCK/CD3134 5-16-24","007","INS+","2204G0420","False","False","True","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",16155.524868,221,31460.0859375,51361.3125,3334419,3154573,659310,3254074,3254074,79.0998654968517,"LH00339:67:2232MVLT1",99.62,99.61,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Tail","Pancreas","islet_present","beta_cells","P4","a4da2f44-1a6b-46f8-b0bc-7162dbd751ff","7c27ca2d-8790-4246-82f6-f4c06758d99e",35563.140625,66750.1015625,6794,7585,NA,"sample01","P4-22","P4-22","007","INS+",221,31460.09,51361.31,12546.28,20452.07,11115.6,17700.3,3101.5
"P2-13 Ins/Syto83/PanCK/CD3134 WTA 8-25-22 | 006 | PanCK+",0.076,0,0.046,0.383,0,0,0,0.166,0.011,0,0,0.127,0,0,0.022,0,0.047,0,0,0.032,0.013,0.078,0.24,0.072,1.11460591281855,"P4-22 Ins/Syto83/PanCK/CD3134 5-16-24","P4-22 Ins/Syto83/PanCK/CD3134 5-16-24","008","INS+","2204G0420","False","False","True","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",30346.890315,443,17483.28125,61943.89453125,5588301,5290255,1084695,5460194,5460194,79.4963569809017,"LH00339:67:2232MVLT1",99.59,99.61,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Tail","Pancreas","islet_present","beta_cells","P4","582acadc-1d63-4034-8273-9a13f9d1622e","01c9f34e-d5c9-4d3d-abd8-08b2d6be8a38",35563.140625,66750.1015625,6794,7585,NA,"sample01","P4-22","P4-22","008","INS+",443,17483.28,61943.89,6972.33,24666.06,11115.6,17700.3,8104.8
"P2-13 Ins/Syto83/PanCK/CD3134 WTA 8-25-22 | 011 | CD31+CD34+",0.171,0,0,0.151,0,0.064,0.133,0.021,0.035,0,0.068,0,0,0.012,0.044,0.006,0.168,0,0.109,0,0.018,0,0.33,0.066,1.05578651325732,"P4-3A Ins/Syto83/PanCK/CD3134 5-16-24","P4-3A Ins/Syto83/PanCK/CD3134 5-16-24","001","INS+","2204G0420","False","False","True","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",5928.366375,68,25298.259765625,54575.875,603172,570519,202689,589766,589766,64.472874698301,"LH00339:67:2232MVLT1",99.55,99.63,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Head","Pancreas","islet_present","beta_cells","P4","85f8975a-5749-4be7-882a-f62bd85bae48","6736c641-ecac-411b-8bb5-4622a3e39298",35601.95703125,64950.4609375,6775,293,NA,"sample01","P4-3A","P4-3A","001","INS+",68,25298.26,54575.88,10088.95,21732.11,NA,NA,NA
"P2-13 Ins/Syto83/PanCK/CD3134 WTA 8-25-22 | 012 | Other",0,0,0.019,0.21,0.062,0,0.2,0.12,0,0,0.003,0.082,0,0,0.093,0.077,0.067,0,0.002,0.034,0,0.031,0.08,0.114,1.05629409716655,"P4-3A Ins/Syto83/PanCK/CD3134 5-16-24","P4-3A Ins/Syto83/PanCK/CD3134 5-16-24","002","INS+","2204G0420","False","False","True","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",8595.202282,101,16142.0625,52835.86328125,1857248,1760956,370442,1815606,1815606,78.9635856886827,"LH00339:67:2232MVLT1",99.59,99.61,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Head","Pancreas","islet_present","beta_cells","P4","03e7fcca-9285-45a7-80ef-ee566ac88cc5","0fd6d10a-1295-4233-b0fe-95ebfda12f8a",35601.95703125,64950.4609375,6775,293,NA,"sample01","P4-3A","P4-3A","002","INS+",101,16142.06,52835.86,6437.45,21039.24,NA,NA,NA
"P2-13 Ins/Syto83/PanCK/CD3134 WTA 8-25-22 | 013 | PanCK+",0,0.166,0,0,0,0.073,0,0.051,0,0,0.065,0.057,0,0,0.098,0,0.056,0,0.316,0,0,0.118,0.62,0.035,1.0868365373052,"P4-3A Ins/Syto83/PanCK/CD3134 5-16-24","P4-3A Ins/Syto83/PanCK/CD3134 5-16-24","003","INS+","2204G0420","False","False","True","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",7682.913829,95,27978.537109375,44333.37109375,1465622,1389753,330726,1430890,1430890,76.2025338315513,"LH00339:67:2232MVLT1",99.61,99.59,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Head","Pancreas","islet_present","beta_cells","P4","2d4f9016-d95c-4bc6-a970-1572c4219123","faeab64c-fb2d-4cf0-9c9c-3933ecdbbf6a",35601.95703125,64950.4609375,6775,293,NA,"sample01","P4-3A","P4-3A","003","INS+",95,27978.54,44333.37,11157.84,17653.55,NA,NA,NA
"P2-13 Ins/Syto83/PanCK/CD3134 WTA 8-25-22 | 015 | Other",0,0,0.085,0.407,0.028,0,0.151,0,0.015,0,0,0.055,0.029,0,0,0.086,0.099,0.006,0.013,0,0.022,0.004,0.33,0.065,1.08290216280237,"P4-3A Ins/Syto83/PanCK/CD3134 5-16-24","P4-3A Ins/Syto83/PanCK/CD3134 5-16-24","005","INS+","2204G0420","False","False","True","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",9854.462062,136,13024.28515625,40370.17578125,1837542,1744720,327579,1795596,1795596,81.2245517905452,"LH00339:67:2232MVLT1",99.62,99.6,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Head","Pancreas","islet_present","beta_cells","P4","89e8d6ab-c3d5-4e9a-b3ae-810c8014e412","5ed10195-0018-401e-8f77-54f1b6571391",35601.95703125,64950.4609375,6775,293,NA,"sample01","P4-3A","P4-3A","005","INS+",136,13024.29,40370.18,5194.08,16075.4,NA,NA,NA
"P2-13 Ins/Syto83/PanCK/CD3134 WTA 8-25-22 | 015 | PanCK+",0.075,0,0.013,0.249,0,0.056,0.052,0.047,0.031,0,0.003,0.055,0.118,0,0.089,0,0.051,0.017,0,0.132,0.013,0,0.49,0.047,1.07549130985155,"P4-3A Ins/Syto83/PanCK/CD3134 5-16-24","P4-3A Ins/Syto83/PanCK/CD3134 5-16-24","004","INS+","2204G0420","False","False","True","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",6620.879856,86,34567.23828125,34730.53515625,1407956,1334638,311632,1376381,1376381,76.650447537085,"LH00339:67:2232MVLT1",99.58,99.59,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Head","Pancreas","islet_present","beta_cells","P4","58acb2b2-a39a-4542-85ef-fba70fbabff2","816966e0-5770-485d-b5f8-c92bd28a91e2",35601.95703125,64950.4609375,6775,293,NA,"sample01","P4-3A","P4-3A","004","INS+",86,34567.24,34730.54,13785.41,13829.7,NA,NA,NA
"P2-13 Ins/Syto83/PanCK/CD3134 WTA 8-25-22 | 017 | Other",0,0,0.063,0.285,0,0.041,0,0.049,0,0,0,0.155,0,0,0.032,0.155,0.083,0,0,0.109,0,0.028,0.2,0.081,1.07074560757711,"P4-3A Ins/Syto83/PanCK/CD3134 5-16-24","P4-3A Ins/Syto83/PanCK/CD3134 5-16-24","006","INS+","2204G0420","False","False","True","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",10365.62943,116,7700.03076171875,31358.091796875,1932759,1834838,339483,1886487,1886487,81.4979306074978,"LH00339:67:2232MVLT1",99.59,99.6,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Head","Pancreas","islet_present","beta_cells","P4","e817787a-d603-4743-9e26-a0555dc4b454","84f8e513-6c1d-4fab-a020-18f7d869d4d5",35601.95703125,64950.4609375,6775,293,NA,"sample01","P4-3A","P4-3A","006","INS+",116,7700.03,31358.09,3070.77,12486.79,NA,NA,NA
"P2-13 Ins/Syto83/PanCK/CD3134 WTA 8-25-22 | 019 | Other",0,0.122,0,0.464,0,0,0.012,0.009,0,0,0,0.041,0.003,0.028,0.125,0.076,0.11,0,0.01,0,0,0,0.16,0.088,1.08734238479124,"P4-3A Ins/Syto83/PanCK/CD3134 5-16-24","P4-3A Ins/Syto83/PanCK/CD3134 5-16-24","007","INS+","2204G0420","False","False","True","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",9109.227995,121,23921.466796875,20531.89453125,979118,928992,215601,955772,955772,76.7919422341635,"LH00339:67:2232MVLT1",99.6,99.59,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Head","Pancreas","islet_present","beta_cells","P4","0cf687ef-f259-4ba4-8cf8-5af2aa62aee5","861365ed-1336-47b2-880e-1cd39368107a",35601.95703125,64950.4609375,6775,293,NA,"sample01","P4-3A","P4-3A","007","INS+",121,23921.47,20531.89,9539.88,8175.8,NA,NA,NA
"P2-19 Ins/Syto83/PanCK/CD3134 WTA 8-25-22 | 001 | CD31+CD34+",0,0.22,0,0.049,0.026,0,0,0.112,0,0.087,0,0.123,0,0,0.095,0.115,0,0,0,0.13,0.043,0,0.47,0.051,1.07905498463375,"P3-7A Ins/Syto/PanCK/CD3134 12-14-22","P3-7A Ins/Syto/PanCK/CD31CD34 12-14-22","006","INS+","1912G0062","False","False","True","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",39109.228558,148,34525.53515625,59390.25390625,3559184,3264046,694024,3473145,3473145,78.7373094619377,"A00916:314:HMWLCDRX2",98.95,98.97,"DRAGEN_GeoMx_3.8.4-96","HWTA21003","Neck","Pancreas","islet_present","beta_cells","P3","901d4c68-0848-4c70-b4d1-37e658e86792","fed6cb1a-98d2-46df-aac4-ab9e16a5df65",35459.3359375,59414.984375,6846,3060,NA,"sample01","P3-7A","P3-7A","006","INS+",148,NA,NA,13317.1,23814.1,6054.5,15961.5,10696
"P2-19 Ins/Syto83/PanCK/CD3134 WTA 8-25-22 | 002 | PanCK+",0,0.001,0.017,0.229,0.085,0,0.031,0.198,0,0,0,0.03,0,0.042,0.01,0,0,0,0,0.22,0.096,0.041,0.67,0.03,1.1072515841541,"P3-7A Ins/Syto/PanCK/CD3134 12-14-22","P3-7A Ins/Syto/PanCK/CD31CD34 12-14-22","007","INS+","1912G0062","False","False","True","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",13734.361186,128,25887.8984375,44665.63671875,1631478,1496903,296418,1594639,1594639,80.1979152957807,"A00916:314:HMWLCDRX2",99.07,98.98,"DRAGEN_GeoMx_3.8.4-96","HWTA21003","Neck","Pancreas","islet_present","beta_cells","P3","773e34fb-78a6-478e-afd2-ffecc44df8d1","88b2c8dc-7b39-4fcc-9263-17603b431fbf",35459.3359375,59414.984375,6846,3060,NA,"sample01","P3-7A","P3-7A","007","INS+",128,NA,NA,9843.1,17943.9,6054.5,15961.5,4276
